area_type,bath,balcony,price,availability_refined,availibility_due,size_bhk,scale,total_sqft_refined
Super built-up  Area,2,1,54.5,Ready To Move,,2,1,1255
Plot  Area,3,2,100,Ready To Move,,3,1,600
Super built-up  Area,2,2,110,Ready To Move,,2,1,1036
Super built-up  Area,2,2,75,Ready To Move,,3,1,1460
Super built-up  Area,2,1,58,Ready To Move,,2,1,1230
Built-up  Area,2,2,60,Ready To Move,,2,1,1340
Built-up  Area,3,3,61.37,Ready To Move,,3,1,1600
Built-up  Area,3,1,200,Under Construction,Apr,3,1,2162
Super built-up  Area,2,2,40,Ready To Move,,2,1,919
Super built-up  Area,2,2,38.9,Under Construction,Aug,2,1,1070
Super built-up  Area,2,3,85,Ready To Move,,3,1,1733
Super built-up  Area,3,3,72,Ready To Move,,3,1,1221
Super built-up  Area,2,1,36.44,Ready To Move,,2,1,1041
Built-up  Area,4,2,149,Ready To Move,,4,1,2550
Built-up  Area,3,1,70,Ready To Move,,3,1,1400
Plot  Area,2,0,55,Ready To Move,,1,1,600
Built-up  Area,2,2,40,Ready To Move,,1,1,710
Super built-up  Area,2,1,78.25,Under Construction,Apr,3,1,1500
Super built-up  Area,6,2,237,Ready To Move,,4,1,3122
Super built-up  Area,3,3,175,Ready To Move,,3,1,2061
Plot  Area,5,2,325,Ready To Move,,5,1,2400
Super built-up  Area,2,1,95,Under Construction,Dec,3,1,1255
Super built-up  Area,7,3,140,Ready To Move,,7,1,2425
Super built-up  Area,2,1,55,Ready To Move,,2,1,1031
Super built-up  Area,2,1,74,Under Construction,Jul,2,1,1210
Super built-up  Area,2,1,40,Ready To Move,,2,1,950
Plot  Area,4,1,156,Ready To Move,,4,1,1376
Super built-up  Area,2,1,55.15,Under Construction,Dec,2,1,1161
Super built-up  Area,2,2,44.17,Ready To Move,,2,1,1303
Super built-up  Area,2,2,105,Ready To Move,,2,1,1418
Plot  Area,2,1,65,Ready To Move,,2,1,1200
Super built-up  Area,3,,175,Ready To Move,,3,1,1825
Built-up  Area,2,0,48,Ready To Move,,2,1,1015
Carpet  Area,2,0,60,Ready To Move,,3,1,1150
Super built-up  Area,2,1,40,Ready To Move,,2,1,1010
Super built-up  Area,3,1,75,Ready To Move,,3,1,1508
Super built-up  Area,2,1,87,Ready To Move,,2,1,1275
Built-up  Area,3,1,70,Ready To Move,,3,1,1460
Super built-up  Area,2,2,58,Ready To Move,,2,1,946
Super built-up  Area,2,2,58,Ready To Move,,2,1,1110
Super built-up  Area,3,1,125,Ready To Move,,3,1,1832
Super built-up  Area,2,2,61.45,Under Construction,Apr,2,1,1088
Super built-up  Area,3,1,104,Ready To Move,,3,1,1564
Super built-up  Area,2,1,35.02,Under Construction,Jan,2,1,1030
Super built-up  Area,2,0,27,Ready To Move,,2,1,660
Super built-up  Area,3,1,95,Ready To Move,,3,1,1700
Plot  Area,5,2,121,Ready To Move,,4,1,1100
Super built-up  Area,2,2,62.9,Under Construction,Feb,2,1,1205
Super built-up  Area,3,2,90,Ready To Move,,3,1,1950
Super built-up  Area,2,1,62,Under Construction,May,2,1,1080
Built-up  Area,4,,140,Ready To Move,,4,1,2800
Super built-up  Area,2,1,43.66,Under Construction,Jan,2,1,999
Plot  Area,4,3,175,Ready To Move,,4,1,900
Super built-up  Area,2,1,89.76,Under Construction,Jul,2,1,1300
Super built-up  Area,2,1,78,Ready To Move,,2,1,1265
Built-up  Area,2,2,42,Ready To Move,,2,1,1200
Super built-up  Area,4,0,106,Under Construction,Mar,4,1,1974
Super built-up  Area,2,2,40,Ready To Move,,2,1,1180
Super built-up  Area,2,3,63,Ready To Move,,3,1,1350
Super built-up  Area,2,2,65,Ready To Move,,3,1,1560
Plot  Area,2,0,650,Ready To Move,,2,1,2800
Super built-up  Area,2,1,41.23,Under Construction,Aug,2,1,1085
Super built-up  Area,2,2,75,Ready To Move,,3,1,1300
Super built-up  Area,3,2,56,Ready To Move,,3,1,1600
Super built-up  Area,2,2,55,Ready To Move,,2,1,1127
Super built-up  Area,2,2,32,Ready To Move,,2,1,795
Super built-up  Area,3,2,88,Ready To Move,,3,1,1850
Built-up  Area,2,1,29.45,Under Construction,Jul,2,1,1020
Built-up  Area,2,1,200,Ready To Move,,3,1,1475
Plot  Area,3,3,96.25,Ready To Move,,3,1,1200
Super built-up  Area,2,1,47,Ready To Move,,3,1,1345
Super built-up  Area,2,1,25.4,Under Construction,Nov,2,1,849
Super built-up  Area,3,2,135,Under Construction,Sep,3,1,1706
Super built-up  Area,4,1,180,Under Construction,Dec,4,1,2100
Super built-up  Area,2,2,65,Ready To Move,,3,1,1250
Built-up  Area,3,3,63.58,Ready To Move,,3,1,1260
Super built-up  Area,2,1,65,Ready To Move,,3,1,1265
Super built-up  Area,2,1,45,Under Construction,Nov,3,1,1260
Super built-up  Area,2,1,58,Under Construction,Dec,2,1,1045
Super built-up  Area,4,2,495,Ready To Move,,4,1,3895
Super built-up  Area,1,0,19.8,Under Construction,May,1,1,412.5
Super built-up  Area,2,3,62,Under Construction,Jun,2,1,1100
Super built-up  Area,2,1,50,Under Construction,Sep,2,1,1113
Super built-up  Area,4,3,208,Under Construction,Dec,4,1,2774
Built-up  Area,2,1,60,Ready To Move,,2,1,1210
Super built-up  Area,1,1,30.84,Ready To Move,,1,1,700
Super built-up  Area,2,1,55.5,Under Construction,May,2,1,1155
Super built-up  Area,2,1,89,Under Construction,Jun,2,1,1132
Super built-up  Area,2,2,104,Under Construction,Jan,2,1,1359
Super built-up  Area,3,,200,Ready To Move,,4,1,2631
Super built-up  Area,2,2,56,Ready To Move,,2,1,1145
Built-up  Area,1,1,30,Ready To Move,,1,1,600
Plot  Area,1,1,125,Ready To Move,,1,1,1200
Built-up  Area,2,1,60,Ready To Move,,2,1,830
Super built-up  Area,2,2,56,Ready To Move,,2,1,1009
Super built-up  Area,3,2,195,Ready To Move,,3,1,1800
Super built-up  Area,2,2,52.71,Ready To Move,,2,1,1226
Super built-up  Area,2,2,88,Ready To Move,,2,1,1500
Super built-up  Area,2,1,79,Ready To Move,,2,1,1363
Built-up  Area,2,1,240,Ready To Move,,3,1,1400
Built-up  Area,2,1,33.64,Under Construction,Dec,2,1,1165
Built-up  Area,4,1,220,Ready To Move,,4,1,2792
Built-up  Area,1,0,59,Ready To Move,,1,1,700
Super built-up  Area,2,2,42,Ready To Move,,2,1,1060
Built-up  Area,2,1,67,Ready To Move,,2,1,1200
Built-up  Area,3,2,76,Under Construction,Dec,3,1,1518
Built-up  Area,2,2,75,Ready To Move,,3,1,1495
Built-up  Area,2,2,90,Ready To Move,,2,1,1575
Built-up  Area,2,2,170,Ready To Move,,2,1,1440
Super built-up  Area,3,1,69,Under Construction,Dec,3,1,1545
Built-up  Area,3,3,50,Ready To Move,,3,1,1470
Super built-up  Area,3,3,95,Ready To Move,,3,1,1500
Built-up  Area,2,2,81,Ready To Move,,3,1,1450
Super built-up  Area,2,1,49,Ready To Move,,2,1,1179
Super built-up  Area,3,2,110,Ready To Move,,3,1,1650
Super built-up  Area,2,2,32,Ready To Move,,3,1,1095
Built-up  Area,2,1,48,Under Construction,Jan,2,1,856
Super built-up  Area,2,1,62,Ready To Move,,2,1,1143
Super built-up  Area,2,1,97.8,Ready To Move,,2,1,1349
Built-up  Area,2,2,45,Ready To Move,,3,1,1280
Super built-up  Area,1,1,60,Ready To Move,,1,1,480
Super built-up  Area,2,1,69.06,Under Construction,Dec,2,1,1216
Super built-up  Area,3,,115,Ready To Move,,3,1,2493
Super built-up  Area,2,1,120,Ready To Move,,2,1,1290
Plot  Area,5,2,96,Ready To Move,,5,1,1200
Super built-up  Area,2,2,42,Ready To Move,,2,1,1156
Super built-up  Area,2,2,44,Ready To Move,,2,1,1230
Super built-up  Area,2,2,33.15,Ready To Move,,2,1,1070
Super built-up  Area,2,1,49.3,Under Construction,Aug,2,1,1235
Built-up  Area,2,1,110,Ready To Move,,2,1,1117
Super built-up  Area,3,2,124,Ready To Move,,3,1,1724
Plot  Area,4,0,90,Ready To Move,,4,1,1200
Super built-up  Area,1,1,43,Ready To Move,,1,1,600
Super built-up  Area,2,2,57.9,Ready To Move,,3,1,1930
Super built-up  Area,2,1,75,Under Construction,Dec,2,1,1216
Built-up  Area,3,3,60,Ready To Move,,3,1,1452
Super built-up  Area,2,3,78,Ready To Move,,2,1,1355
Built-up  Area,4,,425,Ready To Move,,4,1,7500
Super built-up  Area,3,3,190,Ready To Move,,3,1,2145
Super built-up  Area,2,1,53,Ready To Move,,2,1,957
Built-up  Area,2,2,48,Ready To Move,,2,1,925
Super built-up  Area,2,3,59,Ready To Move,,2,1,1550
Plot  Area,2,1,899,Ready To Move,,4,1,4000
Plot  Area,3,2,140,Under Construction,Jul,3,1,2100
Super built-up  Area,2,1,61,Under Construction,Dec,2,1,1115
Super built-up  Area,3,2,83,Ready To Move,,3,1,1692
Super built-up  Area,2,2,52,Ready To Move,,2,1,1100
Super built-up  Area,2,2,69,Ready To Move,,3,1,1385
Super built-up  Area,1,1,24.9,Ready To Move,,1,1,760
Super built-up  Area,2,2,67,Under Construction,Dec,2,1,1335
Super built-up  Area,2,1,45,Ready To Move,,2,1,910
Super built-up  Area,2,2,55,Ready To Move,,3,1,1610
Super built-up  Area,2,1,75.76,Under Construction,Mar,2,1,1341
Plot  Area,3,0,70,Ready To Move,,3,1,1200
Super built-up  Area,2,2,44.98,Ready To Move,,3,1,1285
Super built-up  Area,3,,252,Ready To Move,,3,1,2100
Super built-up  Area,3,,92.13,Ready To Move,,3,1,1679
Built-up  Area,4,2,290,Ready To Move,,4,1,2675
Built-up  Area,2,1,45.9,Ready To Move,,2,1,1016
Built-up  Area,2,0,650,Ready To Move,,4,1,1500
Plot  Area,2,1,100,Ready To Move,,3,1,660
Super built-up  Area,3,2,400,Ready To Move,,3,1,2448
Super built-up  Area,2,2,35.11,Ready To Move,,2,1,924
Super built-up  Area,1,1,31,Under Construction,Jul,1,1,500
Super built-up  Area,3,2,88,Ready To Move,,3,1,1800
Super built-up  Area,2,3,77,Ready To Move,,2,1,1255
Super built-up  Area,2,2,50,Under Construction,Dec,2,1,1040
Super built-up  Area,2,2,47,Ready To Move,,2,1,1062
Super built-up  Area,2,0,19.33,Under Construction,Dec,2,1,805.5
Super built-up  Area,2,1,60,Ready To Move,,2,1,950
Super built-up  Area,2,1,73,Under Construction,May,2,1,1216
Super built-up  Area,2,2,98,Ready To Move,,2,1,1300
Super built-up  Area,2,2,65,Ready To Move,,2,1,1390
Super built-up  Area,2,1,52.58,Under Construction,Jul,2,1,1033
Super built-up  Area,2,2,65.31,Under Construction,Dec,2,1,1390
Super built-up  Area,2,1,52,Ready To Move,,2,1,1020
Super built-up  Area,1,0,34.735,Under Construction,Dec,1,1,709
Super built-up  Area,2,2,45,Under Construction,Oct,2,1,1140
Super built-up  Area,1,1,36.85,Ready To Move,,1,1,670
Super built-up  Area,4,2,111,Under Construction,Jul,4,1,2171
Super built-up  Area,2,1,48,Ready To Move,,2,1,1136
Built-up  Area,2,2,80,Ready To Move,,3,1,1477
Super built-up  Area,2,2,30,Ready To Move,,2,1,1001
Super built-up  Area,2,1,48.86,Under Construction,Dec,2,1,1040
Super built-up  Area,2,1,48.5,Ready To Move,,2,1,1060
Super built-up  Area,2,1,44.3,Ready To Move,,2,1,1240
Super built-up  Area,5,,450,Ready To Move,,4,1,3500
Super built-up  Area,8,3,175,Ready To Move,,9,1,42000
Super built-up  Area,2,2,46,Under Construction,Dec,2,1,1070
Built-up  Area,2,1,65.8,Ready To Move,,2,1,1253
Super built-up  Area,2,2,60,Ready To Move,,2,1,1190
Super built-up  Area,2,2,55,Ready To Move,,2,1,1312
Built-up  Area,2,0,40,Ready To Move,,2,1,750
Built-up  Area,3,2,115,Ready To Move,,3,1,1615
Built-up  Area,2,1,60,Ready To Move,,2,1,1095
Super built-up  Area,3,3,100,Ready To Move,,3,1,1745
Super built-up  Area,2,2,52.5,Ready To Move,,2,1,1050
Plot  Area,4,2,440,Ready To Move,,4,1,2080
Super built-up  Area,2,1,44.6,Ready To Move,,2,1,1220
Super built-up  Area,3,2,98,Ready To Move,,3,1,1793
Super built-up  Area,1,2,45,Ready To Move,,2,1,1100
Super built-up  Area,2,3,65,Ready To Move,,2,1,1385
Super built-up  Area,2,2,45,Ready To Move,,2,1,1200
Super built-up  Area,2,2,125,Ready To Move,,3,1,2017
Super built-up  Area,1,1,10,Ready To Move,,1,1,400
Super built-up  Area,2,2,44.81,Under Construction,Apr,3,1,1400
Super built-up  Area,2,1,33,Ready To Move,,2,1,960
Super built-up  Area,2,1,47,Ready To Move,,2,1,1125
Super built-up  Area,2,2,60,Ready To Move,,3,1,1551
Plot  Area,4,2,122,Ready To Move,,4,1,600
Super built-up  Area,2,1,67.4,Ready To Move,,2,1,1246
Built-up  Area,4,3,224,Under Construction,Apr,4,1,3200
Super built-up  Area,2,1,48,Ready To Move,,2,1,1060
Super built-up  Area,2,2,59,Ready To Move,,2,1,1384
Super built-up  Area,2,1,23,Ready To Move,,2,1,620
Super built-up  Area,2,1,39.77,Under Construction,Jun,2,1,1005
Plot  Area,3,2,128,Ready To Move,,3,1,1200
Built-up  Area,3,2,35,Ready To Move,,3,1,1400
Super built-up  Area,3,3,88,Ready To Move,,3,1,2400
Super built-up  Area,2,1,39,Ready To Move,,2,1,1096
Super built-up  Area,1,0,50,Ready To Move,,2,1,1180
Super built-up  Area,2,1,47,Ready To Move,,3,1,1300
Plot  Area,2,1,62,Under Construction,Apr,2,1,1020
Plot  Area,2,0,35,Ready To Move,,2,1,600
Super built-up  Area,6,1,310,Ready To Move,,4,1,3563
Super built-up  Area,2,2,47,Ready To Move,,2,1,1165
Super built-up  Area,3,3,100,Under Construction,Mar,3,1,1685
Super built-up  Area,3,3,53.56,Ready To Move,,3,1,1580
Super built-up  Area,2,1,83,Ready To Move,,2,1,1210
Super built-up  Area,1,2,25.75,Ready To Move,,2,1,1030
Built-up  Area,2,2,43.5,Ready To Move,,2,1,1100
Super built-up  Area,3,2,77.68,Under Construction,Dec,3,1,1255
Super built-up  Area,3,2,86,Under Construction,Dec,3,1,1482
Super built-up  Area,2,1,108,Ready To Move,,2,1,1344
Super built-up  Area,2,2,39.8,Under Construction,Jun,3,1,1275
Plot  Area,3,,38,Ready To Move,,3,1,462
Super built-up  Area,5,3,318,Ready To Move,,4,1,3300
Super built-up  Area,2,2,85,Ready To Move,,2,1,1210
Super built-up  Area,3,3,226,Under Construction,Jun,3,1,1320
Super built-up  Area,3,2,98.13,Under Construction,Mar,3,1,1532
Super built-up  Area,2,2,110,Ready To Move,,2,1,1245
Super built-up  Area,2,,50,Ready To Move,,2,1,1212
Super built-up  Area,2,1,65,Under Construction,Oct,2,1,1230
Plot  Area,5,2,180,Ready To Move,,5,1,1000
Super built-up  Area,3,2,159,Ready To Move,,3,1,2257
Super built-up  Area,2,1,65.4,Ready To Move,,2,1,1246
Super built-up  Area,2,2,41,Ready To Move,,2,1,1080
Plot  Area,6,3,75,Ready To Move,,6,1,3
Super built-up  Area,2,3,85,Ready To Move,,3,1,1360
Super built-up  Area,2,2,47.88,Ready To Move,,2,1,1260
Built-up  Area,3,0,110,Ready To Move,,4,1,1200
Super built-up  Area,2,2,104,Ready To Move,,2,1,1418
Plot  Area,3,1,165,Ready To Move,,3,1,1200
Super built-up  Area,2,1,39,Ready To Move,,2,1,950
Super built-up  Area,2,2,55,Ready To Move,,2,1,1020
Super built-up  Area,2,2,40.44,Under Construction,May,3,1,1400
Plot  Area,4,0,88,Ready To Move,,4,1,1440
Built-up  Area,6,2,75,Ready To Move,,6,1,800
Super built-up  Area,,,62.81,Under Construction,Sep,3,1,1462.5
Super built-up  Area,2,1,69,Under Construction,May,2,1,1175
Super built-up  Area,2,1,40.17,Ready To Move,,2,1,1185
Super built-up  Area,3,1,113,Ready To Move,,3,1,2250
Super built-up  Area,2,2,40.43,Ready To Move,,2,1,1178
Super built-up  Area,4,2,450,Ready To Move,,4,1,36000
Super built-up  Area,1,1,44.9,Ready To Move,,1,1,825
Super built-up  Area,3,2,43,Under Construction,May,3,1,1250
Super built-up  Area,2,2,55,Ready To Move,,2,1,1113
Super built-up  Area,3,3,223,Ready To Move,,3,1,1718
Super built-up  Area,2,1,35,Ready To Move,,2,1,1010
Super built-up  Area,2,1,41,Under Construction,Dec,2,1,900
Plot  Area,4,3,240,Ready To Move,,4,1,1500
Plot  Area,1,1,16.5,Ready To Move,,1,1,540
Super built-up  Area,2,2,29.46,Under Construction,May,2,1,1020
Super built-up  Area,2,1,71.64,Under Construction,Jun,2,1,1194
Plot  Area,6,2,300,Ready To Move,,8,1,1470
Plot  Area,4,2,100,Ready To Move,,3,1,600
Super built-up  Area,2,1,67.15,Ready To Move,,2,1,1108
Built-up  Area,2,1,451,Ready To Move,,4,1,3895
Super built-up  Area,2,1,34.99,Under Construction,Jan,2,1,700
Super built-up  Area,3,3,68,Ready To Move,,3,1,1600
Super built-up  Area,3,2,90,Ready To Move,,3,1,1850
Super built-up  Area,2,2,33,Ready To Move,,2,1,1250
Built-up  Area,1,1,43,Ready To Move,,1,1,600
Super built-up  Area,2,1,49.27,Ready To Move,,2,1,1140
Super built-up  Area,2,2,75,Ready To Move,,3,1,1200
Super built-up  Area,2,1,55,Ready To Move,,2,1,985
Super built-up  Area,2,2,55,Ready To Move,,2,1,982
Built-up  Area,1,0,20,Ready To Move,,1,1,600
Super built-up  Area,5,1,142,Ready To Move,,3,1,2640
Super built-up  Area,2,2,68.8,Ready To Move,,2,1,1314
Super built-up  Area,2,2,68.5,Ready To Move,,3,1,1700
Super built-up  Area,2,2,93,Under Construction,May,2,1,1077
Built-up  Area,,,66.165,Ready To Move,,4,1,1891
Super built-up  Area,4,1,99,Ready To Move,,5,1,2000
Super built-up  Area,3,2,75,Ready To Move,,3,1,1643
Plot  Area,3,1,67,Ready To Move,,3,1,1200
Super built-up  Area,2,1,51.91,Ready To Move,,2,1,1116
Super built-up  Area,2,1,41.82,Ready To Move,,2,1,1020
Built-up  Area,7,,64,Ready To Move,,7,1,621
Built-up  Area,3,2,55,Ready To Move,,3,1,1740
Super built-up  Area,2,2,47,Under Construction,May,2,1,1225
Built-up  Area,2,1,61,Ready To Move,,3,1,1241
Super built-up  Area,2,2,40.6,Ready To Move,,2,1,1041
Super built-up  Area,2,2,46,Ready To Move,,2,1,1050
Super built-up  Area,3,1,901,Under Construction,Mar,3,1,4400
Super built-up  Area,2,3,64.39,Under Construction,May,2,1,1309
Super built-up  Area,2,2,45,Ready To Move,,2,1,1128
Super built-up  Area,2,1,50,Ready To Move,,3,1,1430
Super built-up  Area,2,1,47.86,Under Construction,Dec,2,1,1065
Super built-up  Area,2,1,64,Ready To Move,,2,1,1085
Plot  Area,1,1,30,Ready To Move,,1,1,750
Super built-up  Area,2,2,37.28,Ready To Move,,2,1,981
Carpet  Area,4,1,129,Under Construction,Dec,4,1,1548
Super built-up  Area,4,2,300,Ready To Move,,4,1,2302
Built-up  Area,2,2,60,Ready To Move,,3,1,1410
Super built-up  Area,3,1,117,Under Construction,Mar,3,1,1525
Super built-up  Area,2,2,42.6,Ready To Move,,2,1,1200
Built-up  Area,2,2,80,Ready To Move,,2,1,1030
Super built-up  Area,2,,95,Ready To Move,,3,1,1852
Built-up  Area,2,1,33.5,Under Construction,Dec,2,1,1160
Built-up  Area,2,1,49,Ready To Move,,2,1,918
Super built-up  Area,2,1,90,Under Construction,Dec,3,1,1255
Plot  Area,6,3,250,Ready To Move,,6,1,1200
Built-up  Area,2,2,49.9,Ready To Move,,3,1,1150
Super built-up  Area,3,,324,Ready To Move,,3,1,2700
Built-up  Area,2,2,69,Under Construction,Mar,2,1,1150
Super built-up  Area,2,2,53.49,Ready To Move,,2,1,1227
Super built-up  Area,3,2,77.68,Under Construction,Dec,3,1,1255
Plot  Area,8,0,120,Ready To Move,,6,1,840
Super built-up  Area,2,1,82,Ready To Move,,2,1,1198
Plot  Area,3,1,160,Ready To Move,,3,1,1200
Built-up  Area,3,1,180,Ready To Move,,3,9,1692
Built-up  Area,3,1,95,Ready To Move,,4,1,2600
Super built-up  Area,4,2,139,Ready To Move,,3,1,2072
Super built-up  Area,2,1,32,Ready To Move,,2,1,797
Built-up  Area,2,3,68,Ready To Move,,3,1,1350
Built-up  Area,4,,200,Ready To Move,,4,1,2500
Super built-up  Area,4,2,160,Ready To Move,,3,1,2215
Super built-up  Area,1,1,30,Under Construction,Dec,1,1,525
Super built-up  Area,4,3,260,Ready To Move,,4,1,2700
Super built-up  Area,2,1,90,Ready To Move,,3,1,1500
Plot  Area,2,0,55,Ready To Move,,2,1,900
Super built-up  Area,2,3,58.27,Ready To Move,,3,1,1355
Super built-up  Area,2,2,49.81,Ready To Move,,3,1,1465
Plot  Area,2,1,57,Ready To Move,,2,1,1006
Built-up  Area,4,1,75,Ready To Move,,4,1,2000
Super built-up  Area,2,1,65.7,Under Construction,Aug,2,1,1128
Built-up  Area,2,0,35,Ready To Move,,2,1,850
Super built-up  Area,2,3,68,Ready To Move,,3,1,1310
Super built-up  Area,2,2,86,Ready To Move,,2,1,1390
Super built-up  Area,2,2,76.45,Ready To Move,,3,1,1390
Plot  Area,4,2,325,Ready To Move,,4,1,2396
Super built-up  Area,2,1,33,Ready To Move,,2,1,1170
Super built-up  Area,2,2,50,Ready To Move,,3,1,1385
Super built-up  Area,2,1,42,Ready To Move,,2,1,1160
Super built-up  Area,2,1,33.5,Under Construction,May,2,1,1160
Super built-up  Area,2,2,69,Ready To Move,,3,1,1200
Super built-up  Area,2,2,55,Ready To Move,,2,1,1475
Built-up  Area,3,0,98,Under Construction,Jul,3,1,1939
Built-up  Area,2,2,42,Ready To Move,,2,1,850
Built-up  Area,1,1,45,Under Construction,May,1,1,675
Built-up  Area,2,1,51,Ready To Move,,2,1,1060
Super built-up  Area,2,2,47,Under Construction,Jun,2,1,1235
Plot  Area,4,1,110,Under Construction,May,2,1,600
Super built-up  Area,2,1,60,Ready To Move,,2,1,1250
Super built-up  Area,2,3,70,Ready To Move,,2,1,1460
Super built-up  Area,3,2,85,Ready To Move,,3,1,1690
Built-up  Area,1,2,57,Ready To Move,,1,1,850
Super built-up  Area,3,2,82,Ready To Move,,3,1,1843
Built-up  Area,3,2,117,Ready To Move,,3,1,1680
Super built-up  Area,2,1,84,Ready To Move,,2,1,1047
Super built-up  Area,2,2,35,Under Construction,Jun,2,1,1100
Plot  Area,8,1,600,Ready To Move,,8,1,3250
Super built-up  Area,2,3,53,Ready To Move,,2,1,1120
Super built-up  Area,2,2,38.33,Ready To Move,,2,1,1095
Super built-up  Area,2,2,35,Under Construction,Oct,2,1,970
Plot  Area,7,2,125,Ready To Move,,5,1,1200
Built-up  Area,2,3,85,Ready To Move,,3,1,1100
Super built-up  Area,3,2,85,Ready To Move,,3,1,1685
Built-up  Area,2,1,59,Ready To Move,,2,1,1148
Built-up  Area,2,1,65,Ready To Move,,2,1,1050
Super built-up  Area,2,1,76,Ready To Move,,3,1,1465
Plot  Area,5,,230,Ready To Move,,4,1,3401
Built-up  Area,1,1,60,Under Construction,Dec,1,1,630
Super built-up  Area,3,1,150,Ready To Move,,3,1,1850
Plot  Area,9,,175,Ready To Move,,9,1,1200
Built-up  Area,2,1,225,Ready To Move,,4,1,1750
Built-up  Area,3,1,60,Ready To Move,,3,1,1350
Super built-up  Area,3,2,160,Ready To Move,,3,1,1760
Super built-up  Area,2,2,185,Ready To Move,,2,1,1440
Super built-up  Area,2,0,42,Ready To Move,,2,1,1200
Built-up  Area,2,1,78,Ready To Move,,2,1,1100
Built-up  Area,2,2,46,Ready To Move,,2,1,1140
Super built-up  Area,3,0,73.595,Under Construction,Aug,3,1,1617.5
Super built-up  Area,2,2,45,Ready To Move,,2,1,1410
Super built-up  Area,2,1,67.39,Ready To Move,,3,1,1434
Plot  Area,2,2,74,Ready To Move,,2,1,1180
Super built-up  Area,2,2,42,Ready To Move,,2,1,1160
Super built-up  Area,2,2,86,Ready To Move,,2,1,1343
Built-up  Area,2,1,69,Ready To Move,,2,1,1184
Super built-up  Area,3,0,300,Ready To Move,,3,1,2246
Built-up  Area,4,3,200,Ready To Move,,3,1,4510
Super built-up  Area,2,1,59,Ready To Move,,3,1,1305
Super built-up  Area,5,,280,Ready To Move,,4,1,3785
Super built-up  Area,3,2,85,Ready To Move,,3,1,1540
Super built-up  Area,3,3,65.11,Ready To Move,,3,1,1550
Super built-up  Area,2,1,57,Ready To Move,,3,1,1345
Super built-up  Area,2,2,45,Ready To Move,,3,1,975
Super built-up  Area,2,2,46,Ready To Move,,2,1,1140
Super built-up  Area,2,1,34.56,Under Construction,Aug,2,1,1152
Built-up  Area,4,2,700,Ready To Move,,4,1,3200
Super built-up  Area,2,2,31.5,Under Construction,Dec,3,1,1033
Super built-up  Area,3,0,230,Ready To Move,,3,1,1800
Super built-up  Area,2,2,53.67,Ready To Move,,2,1,1102
Super built-up  Area,2,2,42.81,Ready To Move,,3,1,1223
Super built-up  Area,3,3,112,Under Construction,Mar,3,1,1762
Built-up  Area,2,1,16.6,Ready To Move,,2,1,560
Built-up  Area,6,0,85,Ready To Move,,6,1,2000
Super built-up  Area,2,2,38,Ready To Move,,3,1,1410
Super built-up  Area,3,1,64.86,Under Construction,Dec,3,1,1853
Super built-up  Area,2,,69,Ready To Move,,2,1,1455
Super built-up  Area,2,1,110,Under Construction,Jan,2,1,1138
Built-up  Area,3,2,169,Ready To Move,,3,1,2556
Super built-up  Area,2,0,66.5,Under Construction,May,3,1,1200
Super built-up  Area,2,2,37,Ready To Move,,2,1,1200
Super built-up  Area,4,2,185,Ready To Move,,3,10.8,2203.2
Plot  Area,1,1,36,Under Construction,Jan,2,1,1200
Super built-up  Area,3,2,138,Under Construction,Jun,3,1,1870
Super built-up  Area,2,1,86,Under Construction,May,2,1,1199
Plot  Area,8,,150,Ready To Move,,6,1,800
Super built-up  Area,2,2,54.4,Ready To Move,,3,1,1360
Super built-up  Area,3,3,53,Ready To Move,,3,1,1230
Super built-up  Area,3,2,120,Ready To Move,,3,1,2000
Plot  Area,4,2,250,Ready To Move,,4,1,1200
Super built-up  Area,2,1,83,Ready To Move,,2,1,1047
Plot  Area,4,,260,Under Construction,Mar,4,1,6000
Plot  Area,2,1,76,Under Construction,Feb,2,1,1200
Super built-up  Area,2,0,44.285,Under Construction,Jan,2,1,1302.5
Super built-up  Area,2,1,30,Ready To Move,,2,1,725
Super built-up  Area,3,1,100,Ready To Move,,3,1,1645
Built-up  Area,2,1,65,Ready To Move,,2,1,870
Super built-up  Area,2,1,49.95,Ready To Move,,2,1,1026
Built-up  Area,3,1,145,Under Construction,Jul,3,1,2000
Super built-up  Area,2,2,200,Ready To Move,,2,1,1710
Super built-up  Area,3,1,130,Under Construction,Apr,3,1,1766
Super built-up  Area,1,1,15,Ready To Move,,1,1,500
Built-up  Area,1,1,15,Under Construction,Apr,2,1,1100
Super built-up  Area,3,3,52,Ready To Move,,3,1,1221
Super built-up  Area,1,1,46,Ready To Move,,1,1,680
Super built-up  Area,2,2,90,Ready To Move,,2,1,1278
Super built-up  Area,2,2,66,Ready To Move,,2,1,1025
Super built-up  Area,2,1,39,Under Construction,Aug,2,1,1175
Super built-up  Area,2,0,28.275,Under Construction,Jul,2,1,975
Built-up  Area,1,1,75,Ready To Move,,1,1,600
Super built-up  Area,2,1,42,Ready To Move,,2,1,850
Super built-up  Area,2,0,25,Ready To Move,,2,1,710
Built-up  Area,2,1,33.64,Under Construction,Dec,2,1,1165
Super built-up  Area,1,1,19,Under Construction,Apr,1,1,625
Super built-up  Area,3,1,66,Ready To Move,,3,1,1340
Super built-up  Area,2,1,35,Ready To Move,,2,1,937
Plot  Area,6,0,210,Ready To Move,,7,1,1500
